instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8654, CPSR = 0x800001d3 / modified register : ['r0'] / memory data : \xc\x0\x1b\xe5
instruction : bl / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x85e4, PC = 0x8658, CPSR = 0x800001d3 / modified register : ['lr', 'pc'] / memory data : \xad\xff\xff\xeb
instruction : push / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7ffffff0, LR = 0x865c, PC = 0x8514, CPSR = 0x800001d3 / modified register : ['sp'] / memory data : \x0\x48\x2d\xe9
instruction : add / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7ffffffc, IP = 0x0, SP = 0x7fffffe8, LR = 0x865c, PC = 0x8518, CPSR = 0x800001d3 / modified register : ['fp'] / memory data : \x4\xb0\x8d\xe2
instruction : sub / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffe8, LR = 0x865c, PC = 0x851c, CPSR = 0x800001d3 / modified register : ['sp'] / memory data : \x18\xd0\x4d\xe2
instruction : str / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8520, CPSR = 0x800001d3 / modified register : [] / memory data : \x18\x0\xb\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x42, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8524, CPSR = 0x800001d3 / modified register : ['r1'] / memory data : \x70\x10\x9f\xe5
instruction : ldr / register data :R0 = 0x0, R1 = 0x14958, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x8528, CPSR = 0x800001d3 / modified register : ['r0'] / memory data : \x70\x0\x9f\xe5
instruction : bl / register data :R0 = 0x1495c, R1 = 0x14958, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x865c, PC = 0x852c, CPSR = 0x800001d3 / modified register : ['lr', 'pc'] / memory data : \xc7\x2\x0\xeb
instruction : ldr / register data :R0 = 0x1495c, R1 = 0x14958, R2 = 0x9a, R3 = 0x1, R4 = 0x0, R5 = 0x0, R6 = 0x0, R7 = 0x0, R8 = 0x0, R9 = 0x0, R10 = 0x0, FP = 0x7fffffec, IP = 0x0, SP = 0x7fffffd0, LR = 0x8530, PC = 0x9050, CPSR = 0x800001d3 / modified register : ['r3'] / memory data : \xc\x30\x9f\xe5
